transaction_id,user_id,product_id,amount,date,sale_day,sale_month,sale_year,is_wallet_payment,is_wallet_payment_le,pay_Cash,pay_Credit Card,pay_Debit Card,pay_Net Banking,pay_UPI,pay_Wallet,amount_log,amount_sqrt,amount_standard_scaled,amount_minmax_scaled,category,name,age,city,registration_date,reg_day,reg_month,reg_year,gender_Female,gender_Male,gender_Other,purchase_frequency,avg_monthly_spend,spending_group,spending_group_encoded,days_since_last_purchase,spend_beauty,spend_books,spend_clothing,spend_electronics,spend_grocery,spend_home,spend_sports,spend_toys
T000001,U0024,P015,67.67,2023-02-12,12,2,2023,1,1,False,False,False,False,False,True,4.229312422632585,8.226177727231525,0.017184141888662473,0.25971420182049526,Books,Aarohi Kapoor,20.0,Patna,2023-03-15,15,3,2023,True,False,False,11,96.98142857142857,High,2.0,90,112.61,313.02,89.07000000000001,62.27,55.78,46.12,0.0,0.0
T000002,U0196,P044,76.44,2023-03-24,24,3,2023,0,0,False,False,False,False,True,False,4.349503442968322,8.742997197757758,0.2286790467591593,0.30263286679064305,Beauty,Kabir Kulkarni,35.0,Patna,2024-08-01,1,8,2024,False,False,True,7,103.83,High,2.0,72,94.92999999999999,196.74,0.0,0.0,226.74,104.57,0.0,0.0
T000003,U0196,P049,104.57,2025-08-21,21,8,2025,0,0,False,False,True,False,False,False,4.659374240001603,10.225947388873072,0.9070543801693164,0.44029558578839184,Home,Kabir Kulkarni,35.0,Patna,2024-08-01,1,8,2024,False,False,True,7,103.83,High,2.0,72,94.92999999999999,196.74,0.0,0.0,226.74,104.57,0.0,0.0
T000004,U0133,P042,102.75,2024-07-23,23,7,2024,0,0,False,False,False,True,False,False,4.641984159110808,10.136567466356647,0.8631637613706501,0.4313888617010864,Home,Diya Singh,23.0,Indore,2023-07-06,6,7,2023,True,False,False,5,112.7875,High,2.0,370,215.07,0.0,0.0,77.16,0.0,158.92000000000002,0.0,0.0
T000005,U0047,P038,23.89,2025-10-04,4,10,2025,0,0,False,False,False,True,False,False,3.2144661163795005,4.887739763939975,-1.0386022817407965,0.045463443280806495,Home,Anaya Gupta,28.0,Kolkata,2022-10-13,13,10,2022,False,False,True,4,54.31666666666666,Low,0.0,28,0.0,52.54,0.0,0.0,86.52000000000001,23.89,0.0,0.0
T000006,U0024,P031,31.1,2025-04-16,16,4,2025,0,0,False,False,False,False,True,False,3.4688560301359703,5.576737397439475,-0.8647279072691565,0.08074777331897819,Grocery,Aarohi Kapoor,20.0,Patna,2023-03-15,15,3,2023,True,False,False,11,96.98142857142857,High,2.0,90,112.61,313.02,89.07000000000001,62.27,55.78,46.12,0.0,0.0
T000007,U0086,P021,74.37,2023-08-03,3,8,2023,1,1,False,False,False,False,False,True,4.322409317855379,8.623804264940155,0.1787594968068301,0.29250269159244396,Books,Aarohi Reddy,27.0,Ahmedabad,2022-02-12,12,2,2022,True,False,False,4,116.38,Medium,1.0,24,0.0,74.37,41.2,0.0,125.12,108.45,0.0,0.0
T000008,U0042,P022,74.31,2025-10-11,11,10,2025,0,0,False,False,False,True,False,False,4.32161292811326,8.620324819866129,0.1773125533299509,0.2922090633258295,Electronics,Muhammad Singh,33.0,Kanpur,2023-03-25,25,3,2023,True,False,False,3,74.385,Low,0.0,21,0.0,0.0,74.46000000000001,74.31,0.0,0.0,0.0,0.0
T000009,U0074,P043,74.37,2023-03-17,17,3,2023,0,0,False,False,False,True,False,False,4.322409317855379,8.623804264940155,0.1787594968068301,0.29250269159244396,Home,Diya Gupta,44.0,Kanpur,2022-10-19,19,10,2022,False,True,False,6,60.69333333333333,Medium,1.0,258,0.0,133.3,0.0,0.0,79.6,74.37,76.89,0.0
T000010,U0117,P006,218.94,2024-05-31,31,5,2024,0,0,False,False,False,False,True,False,5.393354781882788,14.796621235944373,3.6651698043470513,1.0,Clothing,Aadhya Joshi,31.0,Kolkata,2022-06-01,1,6,2022,True,False,False,13,143.5614285714286,High,2.0,56,0.0,165.31,458.83,102.63,127.18,43.33,20.75,86.9
T000011,U0083,P008,76.9,2023-01-03,3,1,2023,0,0,False,False,False,True,False,False,4.355425952876702,8.769264507357502,0.23977228008189935,0.3048840168346873,Books,Arjun Khan,43.0,Thane,2023-07-19,19,7,2023,False,True,False,8,59.12375,High,2.0,9,0.0,103.51,71.42,0.0,99.24000000000001,140.98,0.0,57.84
T000012,U0169,P035,107.91,2025-04-26,26,4,2025,0,0,False,False,False,True,False,False,4.690521853087595,10.38797381590847,0.9876009003822537,0.4566408926299305,Sports,Diya Mukherjee,30.0,Vadodara,2022-12-05,5,12,2022,False,False,True,4,71.0775,Medium,1.0,169,0.0,23.46,0.0,0.0,52.59,0.0,208.26,0.0
T000013,U0014,P013,96.78,2025-01-10,10,1,2025,0,0,True,False,False,False,False,False,4.5827200571505,9.837682653958705,0.7191928854211784,0.40217284917294704,Beauty,Sai Singh,18.0,Kolkata,2024-06-06,6,6,2024,False,True,False,5,114.965,High,2.0,275,227.37,0.0,0.0,52.85,0.0,138.48,41.16,0.0
T000014,U0160,P049,80.71,2025-06-24,24,6,2025,0,0,False,False,False,True,False,False,4.403176393396616,8.983874442577656,0.3316531908637227,0.32352941176470584,Home,Myra Chopra,37.0,Nagpur,2022-12-11,11,12,2022,False,False,True,3,101.74499999999999,Low,0.0,130,31.73,0.0,0.0,0.0,91.05,80.71,0.0,0.0
T000015,U0195,P004,45.19,2024-06-30,30,6,2024,0,0,False,False,True,False,False,False,3.832763324442514,6.722350779303324,-0.5249373474487117,0.14970147792894195,Toys,Ishaan Reddy,33.0,Delhi,2022-06-19,19,6,2022,False,True,False,5,118.4225,High,2.0,276,0.0,108.28,0.0,0.0,0.0,130.41,0.0,235.0
T000016,U0141,P009,86.09,2025-06-16,16,6,2025,0,0,False,False,False,False,True,False,4.466942066704648,9.278469701410897,0.46139578929055003,0.34985807967113636,Clothing,Anaya Nair,33.0,Jaipur,2024-02-10,10,2,2024,True,False,False,9,82.38166666666667,High,2.0,47,78.86,14.6,186.62,168.29999999999998,22.9,23.01,0.0,0.0
T000017,U0179,P032,34.34,2023-03-01,1,3,2023,0,0,False,True,False,False,False,False,3.5650154668915506,5.860034129593445,-0.7865929595176844,0.09660369971615936,Books,Kabir Joshi,29.0,Thane,2022-12-15,15,12,2022,True,False,False,5,79.44500000000001,Medium,1.0,617,95.72,107.57000000000001,0.0,0.0,114.49000000000001,0.0,0.0,0.0
T000018,U0162,P039,47.37,2023-11-21,21,11,2023,0,0,False,False,True,False,False,False,3.878879786834892,6.882586723027905,-0.47236506778877063,0.1603699716159342,Grocery,Muhammad Mehta,38.0,Lucknow,2022-10-14,14,10,2022,True,False,False,6,76.75,Medium,1.0,252,0.0,15.74,134.48,0.0,47.37,24.73,84.68,0.0
T000019,U0080,P036,40.8,2025-04-15,15,4,2025,0,0,False,True,False,False,False,False,3.7328963395307104,6.387487769068525,-0.6308053785070334,0.12821767642165016,Sports,Ishaan Amin,18.0,Jaipur,2024-07-16,16,7,2024,True,False,False,7,62.01285714285715,High,2.0,200,0.0,0.0,59.05,101.83,138.17,43.27,91.77,0.0
T000020,U0024,P015,57.35,2025-08-03,3,8,2025,0,0,False,True,False,False,False,False,4.066459358732565,7.572978278062073,-0.23169013613454487,0.20921013996280707,Books,Aarohi Kapoor,20.0,Patna,2023-03-15,15,3,2023,True,False,False,11,96.98142857142857,High,2.0,90,112.61,313.02,89.07000000000001,62.27,55.78,46.12,0.0,0.0
T000021,U0031,P042,218.94,2025-10-17,17,10,2025,0,0,False,False,True,False,False,False,5.393354781882788,14.796621235944373,3.6651698043470513,1.0,Home,Aarohi Khan,27.0,Lucknow,2022-04-25,25,4,2022,False,False,True,4,131.71333333333334,High,2.0,15,0.0,0.0,0.0,0.0,64.81,330.33000000000004,0.0,0.0
T000022,U0184,P019,17.81,2024-07-13,13,7,2024,0,0,True,False,False,False,False,False,2.934388643312939,4.220189569201838,-1.1852258873978798,0.01570911226387392,Home,Kiara Kulkarni,35.0,Ghaziabad,2022-08-20,20,8,2022,False,False,True,6,143.685,High,2.0,109,0.0,0.0,23.72,0.0,0.0,228.73,322.28999999999996,0.0
T000023,U0107,P031,82.41,2024-05-14,14,5,2024,0,0,False,False,False,True,False,False,4.42376820625352,9.077995373429092,0.37264992270863095,0.3318488793187824,Grocery,Kiara Bose,47.0,Pune,2023-09-23,23,9,2023,False,False,True,7,60.336,Medium,1.0,33,0.0,0.0,29.26,23.47,150.88,75.91,22.16,0.0
T000024,U0117,P036,20.75,2025-02-24,24,2,2025,0,0,False,False,True,False,False,False,3.079613757534693,4.55521678957215,-1.1143256570308033,0.030096897327982777,Sports,Aadhya Joshi,31.0,Kolkata,2022-06-01,1,6,2022,True,False,False,13,143.5614285714286,High,2.0,56,0.0,165.31,458.83,102.63,127.18,43.33,20.75,86.9
T000025,U0049,P039,41.13,2023-10-07,7,10,2023,0,0,True,False,False,False,False,False,3.7407600759909254,6.413267497929585,-0.6228471893841983,0.1298326318880298,Grocery,Saanvi Chopra,34.0,Kolkata,2024-03-14,14,3,2024,True,False,False,5,130.0,High,2.0,15,0.0,100.84,0.0,142.01,41.13,30.37,75.65,0.0
T000026,U0018,P018,104.94,2024-11-27,27,11,2024,0,0,False,False,False,True,False,False,4.66287289611638,10.244022647378324,0.9159771982767376,0.44210629343251445,Electronics,Sai Iyer,34.0,Nagpur,2022-10-04,4,10,2022,True,False,False,5,112.43599999999999,High,2.0,339,0.0,138.42,0.0,104.94,279.89,0.0,38.93,0.0
T000027,U0130,P018,56.75,2024-08-02,2,8,2024,0,0,False,True,False,False,False,False,4.056123349401903,7.533259586659682,-0.246159570903336,0.20627385729666242,Electronics,Anaya Kapoor,27.0,Indore,2022-03-05,5,3,2022,True,False,False,5,44.57,Low,0.0,9,0.0,33.62,0.0,91.47999999999999,0.0,53.18000000000001,0.0,0.0
T000028,U0186,P020,28.6,2025-09-29,29,9,2025,0,0,True,False,False,False,False,False,3.3877743613300146,5.347896782848375,-0.9250172188057862,0.0685132622100421,Toys,Saanvi Mukherjee,37.0,Patna,2023-09-28,28,9,2023,True,False,False,3,90.67,Medium,1.0,33,0.0,0.0,0.0,102.55,140.86,0.0,0.0,28.6
T000029,U0039,P029,35.55,2025-09-18,18,9,2025,0,0,True,False,False,False,False,False,3.5986811861957873,5.962382074305537,-0.7574129327339558,0.10252520309288439,Clothing,Meera Gupta,21.0,Ahmedabad,2022-05-12,12,5,2022,False,False,True,6,61.31,Medium,1.0,44,0.0,24.26,97.15,0.0,0.0,0.0,49.9,135.24
T000030,U0089,P022,82.09,2025-02-11,11,2,2025,0,0,True,False,False,False,False,False,4.41992435767689,9.060353193998566,0.3649328908319425,0.3302828618968386,Electronics,Kiara Kulkarni,27.0,Ahmedabad,2024-08-05,5,8,2024,False,False,True,7,66.04666666666667,High,2.0,263,0.0,81.05,128.41,123.55000000000001,27.79,35.48,0.0,0.0
